 3  34.726666667  113.550000000      643    11680   130     -4.000  DZY ENRT ZH ZHONGYUAN VOR/DME
 3  30.291666667  109.601666667     3600    11470   130     -3.000  ENH ENRT ZH ENSHI VOR/DME
 3  29.928333333  104.303333333     1500    11390   130     -2.000  FJC ENRT ZU FUJIACHANG VOR/DME
 3  44.173333333   87.983333333     1762    11630   130      3.000  FKG ENRT ZW FUKANG VOR/DME
 3  29.700000000  107.378333333     1000    11400   130     -2.000  FLG ENRT ZU FULING VOR/DME
 3  34.553333333  108.628333333     1690    11320    40     -3.000  FNH ENRT ZL FENGHUO VOR/DME
 3  25.943333333  119.663333333       46    11680   130     -3.000  FOC ENRT ZS FUZHOU VOR/DME
 3  25.740000000  119.385000000      500    11740   130     -3.000  FQG ENRT ZS FUQING VOR/DME
 3  32.883333333  115.730000000      355    11290   130     -5.000  FYG ENRT ZS FUYANG VOR/DME
 3  44.911666667  124.803333333      250    11370   130    -10.000  FYU ENRT ZY FUYU VOR/DME
 3  30.810000000  106.188333333     1168    11740   130     -2.000  GAO ENRT ZU NANCHONG VOR/DME
 3  39.218477778  125.675541667      177    11140   130     -8.000   GK ENRT ZK PYONGYANG VOR/DME
 3  25.455000000  107.963333333     2802    11280   130     -2.000  GLB ENRT ZG LIBO VOR/DME
 3  22.708333333  114.033333333       13    11200   130     -2.000  GLN ENRT ZG GUANLAN VOR/DME
 3  23.528333333   99.408333333     3763    11470   130     -1.000  GMA ENRT ZP GENGMA VOR/DME
 3  23.070000000  112.486666667      300    11650   130     -2.000  GYA ENRT ZG GAOYAO VOR/DME
 3  42.843333333   93.668333333     2766    11310   130      1.000  HAM ENRT ZW TAOJIAGONG VOR/DME
 3  37.655000000  120.543333333     4649    11610   130     -7.000  HCH ENRT ZS HUANGCHENG VOR/DME
 3  39.490000000  109.861666667     4596    11610   130     -4.000  HDS ENRT ZB ORDOS VOR/DME
 3  50.168333333  127.310000000     1052    11400   130    -12.000  HEK ENRT ZY HEIHE VOR/DME
 3  40.725000000  111.900000000     3593    11690   130     -5.000  HET ENRT ZB HOHHOT VOR/DME
 3  32.080000000  116.768333333      154    11180   130     -4.000  HFC ENRT ZS CHA'AN VOR/DME
 3  31.775000000  117.301666667      125    11670   130     -4.000  HFE ENRT ZS LUOGANG VOR/DME
 3  30.241027778  120.460408333       43    11300   130     -4.000  HGH ENRT ZS HANGZHOU VOR/DME
 3  49.203333333  119.821666667     2188    11510   130     -9.000  HLD ENRT ZB HAILAR VOR/DME
 3  31.325000000  114.430000000      500    11600   130     -4.000  HOK ENRT ZH HEKOU VOR/DME
 3  43.915000000  115.966666667     3350    11430   130     -7.000  HOT ENRT ZB XILINHOT VOR/DME
 3  45.626666667  126.260000000      446    11250   130    -10.000  HRB ENRT ZY HARBIN VOR/DME
 3  31.368333333  121.846666667        1    11440   130     -5.000  HSH ENRT ZS HENGSHA VOR/DME
 3  29.931666667  122.363333333        6    11230   130     -5.000  HSN ENRT ZS ZHOUSHAN VOR/DME
 3  37.036666667   79.868333333     4685    11310   130      2.000  HTN ENRT ZW HOTAN VOR/DME
