 28.796508333  115.869650000  37DME ZSCN ZS 4608073
 28.794238889  115.867933333  59VOR ZSCN ZS 4608073
 28.700000000  115.970000000  ALPHA ZSCN ZS 4475209
 28.700388889  115.822800000   CD03 ZSCN ZS 4607049
 29.018800000  115.976288889   CD21 ZSCN ZS 4607049
 28.702719444  115.824222222  CI03Z ZSCN ZS 4607049
 29.019450000  115.977633333  CI21Z ZSCN ZS 4607049
 28.748888889  115.846388889  CN102 ZSCN ZS 5906519
 28.677222222  115.811944444  CN103 ZSCN ZS 4607063
 28.736388889  115.654166667  CN104 ZSCN ZS 5917015
 28.910000000  115.740277778  CN105 ZSCN ZS 5917015
 28.641944444  115.906111111  CN107 ZSCN ZS 5906519
 28.707222222  115.730000000  CN108 ZSCN ZS 4595799
 28.414444444  115.797222222  CN109 ZSCN ZS 5917015
 29.042222222  115.988888889  CN203 ZSCN ZS 4607063
 29.006666667  116.083333333  CN204 ZSCN ZS 4595799
 28.815277778  115.990277778  CN205 ZSCN ZS 5917015
 28.895000000  115.789444444  CN207 ZSCN ZS 4464727
 28.126944444  115.576111111  CN208 ZSCN ZS 4530263
 29.074444444  115.903055556  CN209 ZSCN ZS 4595799
 28.702663889  115.824494444   CQ03 ZSCN ZS 4607049
 29.043716667  115.914816667  D004J ZSCN ZS 4595785
 28.699877778  115.977305556  D013P ZSCN ZS 4595785
 29.048825000  115.965127778  D019J ZSCN ZS 4595785
 28.685738889  115.816361111  D206J ZSCN ZS 4595785
 28.685805556  115.816058333  D206L ZSCN ZS 4595785
 28.683463889  115.814669444  D206M ZSCN ZS 4595785
 28.787947222  115.837516667  D218G ZSCN ZS 4530249
 28.679686111  115.723252778  D222P ZSCN ZS 4595785
 28.702013889  115.731369444  D224O ZSCN ZS 4595785
 28.681250000  115.722291667  D226M ZSCN ZS 4595785
 28.756919444  115.795736111  D228G ZSCN ZS 4595785
 28.702980556  115.734672222  D228L ZSCN ZS 4595785
 28.730838889  115.737800000  D228M ZSCN ZS 5917001
 28.865319444  115.771050000  D264G ZSCN ZS 4530249
 28.886144444  115.835733333  D274D ZSCN ZS 4464713
 28.909141667  115.846986111  D296D ZSCN ZS 5917001
 29.044783333  115.856069444  D346J ZSCN ZS 4464713
 28.746547222  115.844988889   FD03 ZSCN ZS 4604233
 28.963438889  115.949527778   FD21 ZSCN ZS 4604233
 28.748844444  115.846497222   FI03 ZSCN ZS 4604233
 28.964127778  115.950763889   FI21 ZSCN ZS 4604233
 28.748819444  115.846691667   FQ03 ZSCN ZS 4604233
 28.831161111  115.885713889   MD03 ZSCN ZS 4607305
 28.898841667  115.918341667   MD21 ZSCN ZS 4607305
 28.831886111  115.886697222   MQ03 ZSCN ZS 4607305
 29.425308333  115.711572222  NCH34 ZSCN ZS 4530249
 5.547094444  115.587244444  LAPEN ENRT WB 5916227
 29.791666667  115.551666667  TULMU ENRT ZS 2118999
 30.855000000  115.901666667  IKUBA ENRT ZH 5920087
 31.478333333  116.845000000  ADGOL ENRT ZH 5906519
