1302 datum_lon 106.64
1302 faa_code
1302 gui_label 3D
1302 iata_code CKG
1302 icao_code ZUCK

1302 country China
1302 datum_lat 29.298055556
1302 datum_lon 90.912222222
1302 faa_code
1302 gui_label 3D
1302 iata_code LXA
1302 icao_code ZULS

1302 country China
1302 datum_lat 36.526666667
1302 datum_lon 102.041666667
1302 faa_code
1302 gui_label 3D
1302 iata_code XNN
1302 icao_code ZLXN

1302 country China
1302 datum_lat 34.445
1302 datum_lon 108.75
1302 faa_code
1302 gui_label 3D
1302 iata_code XIY
1302 icao_code ZLXY

1302 country China
1302 datum_lat 23.393333333
1302 datum_lon 113.308333333
1302 faa_code
1302 gui_label 3D
1302 iata_code CAN
1302 icao_code ZGGG

1302 country China
1302 datum_lat 43.908333333
1302 datum_lon 87.475
1302 faa_code
1302 gui_label 3D
1302 iata_code URC
1302 icao_code ZWWW

1302 country China
1302 datum_lat 25.080277778
1302 datum_lon 121.232222222
1302 faa_code
1302 gui_label 3D
1302 iata_code TPE
1302 icao_code RCTP

1302 country China
1302 datum_lat 37.04
1302 datum_lon 79.861666667
1302 faa_code
1302 gui_label 3D
1302 iata_code HTN
1302 icao_code ZWTN

1302 country China
1302 datum_lat 36.64694444
1302 datum_lon 119.11861111
1302 faa_code
1302 gui_label 3D
1302 iata_code WEF
1302 icao_code ZSWF

1302 country China
1302 datum_lat 32.10284317
1302 datum_lon 80.05207032
1302 faa_code
1302 gui_label 3D
1302 iata_code NGQ
1302 icao_code ZUAL

1302 country China
1302 datum_lat 30.79527778
1302 datum_lon 106.16222222
1302 faa_code
1302 gui_label 3D
1302 iata_code NAO
1302 icao_code ZUNC

1302 country China
1302 datum_lat 35.117222222
1302 datum_lon 111.034722222
1302 faa_code
1302 gui_label 3D
1302 iata_code YCU
1302 icao_code ZBYC

1302 country China
1302 datum_lat 22.008333333
1302 datum_lon 113.378333333
1302 faa_code
1302 gui_label 3D
1302 iata_code ZUH
1302 icao_code ZGSD

1302 country China
1302 datum_lat 36.2475
1302 datum_lon 113.126
1302 faa_code
1302 gui_label 3D
1302 iata_code CIH
1302 icao_code ZBCZ

1302 country China
1302 datum_lat 29.735
1302 datum_lon 118.255
1302 faa_code
1302 gui_label 3D
1302 iata_code TXN
1302 icao_code ZSTX

1302 country China
1302 datum_lat 36.515219444
1302 datum_lon 103.620808333
1302 faa_code
1302 gui_label 3D
1302 iata_code LHW
1302 icao_code ZLLL

1302 country China
